component	dupl_regions	sum_len	mean_len	copy_num	psvs
149-KANSL1	5	65540	13108	2.00	360
150-OR1D5	6	54453	9075	2.00	183
151	2	969	484	2.00	4
152-ZNF519	3	66401	22133	2.00	588
153	2	35422	17711	2.00	72
154	1	29706	29706	2.00	49
155	1	30037	30037	2.00	151
156-CD177	3	21492	7164	2.00	92
157	3	184633	61544	2.00	371
158	5	29013	5802	2.00	119
159-GATD3A	3	312347	104115	2.00	283
160-HSF2BP	2	389868	194934	2.00	134
161-CBS	2	304916	152458	2.00	232
162-KCNE1	2	243556	121778	2.00	35
163	2	199855	99927	2.00	469
164-AC253536_7	2	59235	29617	2.00	298
165	3	69343	23114	2.00	581
166	3	62727	20909	2.00	51
167-SSX2B	1	119998	119998	3.00	81
168-MBD3L5	2	31841	15920	3.00	67
